chr13	3298589	16399600	chr9	2658236	15909995
chr2	59214	8550193	chr7	189157	7060060
chr11	7495764	14608845	chr5	2866866	10532680
chr4	13719251	19503909	chr6	10730987	18080115
chr1	14041319	19560369	chr1	20768768	27445538
chr10	8147211	18210872	chr3	5254390	15126554
chr15	387810	10545307	chr2	16344806	27085114
chr14	10477261	15051846	chr16	2325527	7217121
chr20	9666997	13598178	chr8	1476113	5360066
chr12	34131	3866771	chr2	23790972	27839684
chr17	2159840	7028172	chr21	1941478	6474077
chr10	23190	6173585	chr3	15211658	19250706
chr12	13696683	16929848	chr5	19808	3049127
chr4	8833495	16686367	chr9	2607666	10129734
chr18	10686622	14549644	chr7	6959562	13392968
chr4	19512098	22687961	chr6	77469	4246298
chr1	2710986	6592781	chr2	29333076	32545196
chr3	19977915	22419210	chr8	10579683	13678854
chr4	9987198	13704596	chr6	18083897	20831225
chr1	10684850	13941447	chr1	28105640	33490013
chr13	11384483	15215711	chr4	10650657	15123392
chr1	14048	2293172	chr2	32790656	35298802
chr13	11384483	16586024	chr16	25004	4305045
chr16	25004	4567254	chr4	11075842	17232289
chr21	1878079	6451049	chr8	5635021	10370580
chr16	239877	4353126	chr9	2682512	8431560
chr21	2049007	6511057	chr4	17702449	20841422
chr17	2306406	6972629	chr8	5575850	10330952
chr15	785047	3230137	chr19	3965446	8676730
chr11	14478893	16087448	chr19	11158776	12951573
chr12	136810	3823079	chr7	6085455	10505784
chr1	10775024	15506113	chr5	194209	3347659
chr3	22439929	24345588	chr8	16500549	19912835
chr1	2000029	6503053	chr7	541656	3608493
chr1	10775024	15002134	chr12	13423186	16619757
chr10	10653770	15685360	chr11	8915036	12962056
chr18	10803873	14534495	chr2	22645934	26308874
chr10	9708117	15562714	chr5	4583132	9039198
chr2	21948258	25837648	chr7	7694396	13460451
chr16	25004	1321097	chr21	10518725	12809347
chr13	11044183	14039467	chr6	18120155	20858306
chr15	1686288	5237448	chr7	7715839	13409847
chr6	18106857	20819219	chr9	5537637	8797382
chr1	23099818	26648239	chr3	18692213	22494584
chr2	29594937	32501976	chr7	1121763	3608493
chr12	384781	2524556	chr19	5391521	9127958
chr4	19083507	21266827	chr8	5045040	8058179
chr19	7706074	10508012	chr7	4927215	7442534
chr2	1899092	4269894	chr2	29600248	32501976
chr11	16113061	17063621	chr19	902503	2355323
chr12	1236551	3823079	chr18	11941761	14519840
chr17	2129	435037	chr17	1114722	1545889
chr1	1425714	4607098	chr2	250312	3134769
chr17	3828327	7411691	chr6	16141824	18301599
chr13	13987724	16432378	chr6	10730987	15093208
chr19	4844726	9123263	chr2	24918725	27220222
chr11	9605095	12843636	chr3	14412870	16590682
chr17	674511	3852884	chr6	651673	4200117
chr8	1429628	2878497	chr8	11486467	14304707
chr1	17285744	19252930	chr3	20048483	22494584
chr1	11088079	14860473	chr19	10579493	13038585
chr20	11830827	13436597	chr3	19787795	22668114
chr1	10569265	13731983	chr11	14331516	16394526
chr10	3442965	6287242	chr11	10957872	12869262
chr3	14159635	16219988	chr5	5239448	8461808
chr1	16895871	19475209	chr8	1509273	3260420
chr17	3841772	6996616	chr4	17860275	19626950
chr20	2363575	4729353	chr8	8682443	10370580
chr3	19576314	22227943	chr8	1469684	2981628
chr1	6639524	7881128	chr2	28237910	29453703
chr15	1143568	3376520	chr18	11951074	14549644
chr20	7878085	9085640	chr8	6238749	7031029
chr1	23797231	27055633	chr8	1509273	3373274
chr17	2129	1004949	chr21	199438	1257747
chr6	1756981	4984220	chr8	5045040	7612704
chr12	12349934	13685026	chr19	10250283	11057315
chr14	13346562	15051846	chr4	10650657	14024775
chr12	668169	2538678	chr15	664410	2756344
chr13	11384483	14359172	chr14	13346562	15043674
chr14	13346562	15031371	chr9	5347444	8157878
chr2	8484294	14462965	chr3	61801	5031937
chr1	17501933	18945798	chr8	11054966	13297255
chr10	3046199	6056388	chr10	13553552	15949161
chr11	10829392	13088153	chr3	10024865	12653548
chr12	3320952	6212869	chr19	12643525	14410205
chr21	3516603	6194574	chr6	16692610	18301599
chr14	15053901	15743821	chr16	1579799	2313481
chr19	8205964	10508012	chr2	5810768	8217260
chr2	8872614	14654311	chr5	14934055	21214995
chr1	16975761	19272395	chr20	11837570	13497914
chr11	14478893	16649137	chr12	14654789	16792184
chr11	14478893	16576561	chr5	47149	2072016
chr14	7641028	9674779	chr16	13584263	15416514
chr15	67624	875549	chr19	9250672	10203042
chr1	8778389	9535902	chr18	6510639	9623274
chr14	523566	4810749	chr16	10498924	13986854
chr17	6408150	7487427	chr21	6021743	7567689
chr20	12172138	13497914	chr8	11486467	13823008
chr21	1754584	3553539	chr6	2161015	4235976
chr6	12680228	15040365	chr9	2607666	4757772
